M_ID;M_name;Element;HP;AT;MAT;DF;MDF;Speed;A_AV;M_AV;P_Immune;M_Immune;P_Half;M_Half;E_Immune;E_Half;Status_Resist;Death_Resist;EXP;Gold;Drop;Drop_Chance;M_extra_name
98;Cute Cat;Thunder;640;71;91;140;180;70;5;5;0;0;0;0;None;None;99;0;162;51;Dancer's Boots;2;Cute Cat
7;Manticore;Dark;960;80;91;150;160;50;0;0;0;0;0;0;None;None;99;16;216;60;Depetrifier;8;Manticore
126;Mountain Ape;Earth;1000;95;64;120;60;50;0;0;0;0;0;0;None;None;99;0;198;42;Angel's Prayer;10;Mountain Ape
93;Unicorn;Light;1280;76;108;140;160;60;0;0;0;0;0;0;None;None;99;0;380;51;Healing Rain;2;Unicorn
34;Mad Skull;Thunder;799;107;93;250;100;65;0;0;0;0;0;0;None;None;255;128;400;51;Flash Hall;8;Mad Skull
128;Swift Dragon;Fire;888;66;76;120;120;80;0;0;0;0;0;0;None;None;99;0;228;24;Burning Wave;8;Swift Dragon
120;Trap Plant;Water;1680;80;76;100;180;60;0;0;0;0;0;0;None;None;99;16;304;42;Frozen Jet;8;Trap Plant
81;Psyche Druid;Light;2000;53;108;100;160;60;0;5;0;0;0;0;None;None;255;128;638;84;Spectral Flash;8;Psyche Druid
71;Triceratops;Earth;3200;134;53;160;100;80;0;0;0;0;0;0;None;None;99;144;2000;120;Gravity Grabber;8;Triceratops
127;Roulette Face;Dark;2400;71;93;120;200;60;0;0;0;0;0;0;None;None;255;128;360;42;Night Raid;8;Roulette Face
123;Air Combat;Wind;1080;93;76;160;120;50;5;0;0;0;0;0;None;None;99;0;456;33;Down Burst;8;Air Combat
87;Cursed Jar;Non-Elemental;4;0;0;100;100;200;0;0;0;1;0;0;None;None;255;134;300;0;Night Raid;100;Cursed Jar
124;Treasure Jar;Non-Elemental;5;0;0;100;100;200;0;0;1;0;0;0;None;None;255;137;0;0;Ruby Ring;100;Treasure Jar
139;Lucky Jar;Non-Elemental;6;0;0;100;100;200;0;0;1;1;0;0;None;None;127;140;1000;0;Moon Serenade;100;Lucky Jar
42;00PARTS;Non-Elemental;4;0;0;100;100;150;50;50;0;0;0;0;None;None;255;131;0;600;Spirit Potion;100;00PARTS
138;Yellow Bird;Earth;4;0;0;100;100;120;50;20;0;0;0;0;None;None;255;131;0;300;Elude Cloak;10;Yellow Bird
136;Blue Bird;Water;5;0;0;100;100;120;50;0;0;1;0;0;None;None;255;134;1000;0;None;0;Blue Bird
137;Red Bird;Fire;5;0;0;100;100;120;0;50;1;0;0;0;None;None;255;137;0;1000;Phoenix Plume;100;Red Bird
54;Rainbow Bird;Non-Elemental;4;0;0;100;100;120;0;0;1;1;0;0;None;None;251;140;3000;0;Rainbow Dress;10;Rainbow Bird
